# ============================================================
# 生日数据源（默认文件，最简单用法：直接改这个文件就行）
#
# 格式：姓名 | 日期 | 类型 | 分类
#   日期：带年份 1990-01-15   或   不带年份 01-15
#   类型：SOLAR(公历)  LUNAR(农历)  LUNAR_LEAP(农历闰月)
#   分类：运营部/助理部/办公室/网宣部 没有就写"未分类"
#
# 【进阶】想用 edit 平台管理生日？
#   把下面这一行（第 1 个有效行）换成平台外链即可，其余行会被忽略：
#   https://<你的部署域名>/api/s/<token>
#
# 以下为演示数据，真实使用时请替换为你自己的生日记录。
# ============================================================
张三 | 1990-01-15 | SOLAR      | 运营部
李四 | 02-20      | LUNAR      | 助理部
王五 | 1985-03-10 | SOLAR      | 办公室
赵六 | 04-25      | LUNAR      | 网宣部
宋七 | 1995-05-30 | LUNAR_LEAP | 运营部
张三 | 11-15      | SOLAR      | 助理部
李四 | 2000-12-08 | LUNAR      | 办公室
王五 | 08-12      | SOLAR      | 网宣部
赵六 | 2002-07-19 | LUNAR      | 助理部
宋七 | 09-03      | LUNAR      | 办公室
张三 | 1988-10-22 | SOLAR      | 网宣部
李四 | 1992-06-14 | LUNAR_LEAP | 运营部
王五 | 2003-04-02 | SOLAR      | 助理部
赵六 | 06-28      | LUNAR      | 运营部
宋七 | 1979-09-15 | SOLAR      | 办公室
